Source,Asset ID,Title,Region,Location,Licence,Paid Ads OK,Tags,Credit,File Type,File Size,Resolution,Date Added,Source URL,Local Path,In Library
Tourism New Zealand,235247,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, restaurant, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,21.96 MB,5464×8192px,16/11/2023,https://visuals.newzealand.com/asset-page/235247-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235247-clevedon-auckland.jpg,Yes
Tourism New Zealand,235270,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"Accommodation, Coastal Scenery, Farmstay, glamping, Image, luxury, Luxury Accommodation, Matapouri, Matapōuri, Nature, Northland, qualmark, relax, relaxing, romantic getaway, Romantic Holiday, Sandy bay, Sandy Bay Glamping, Sandy Bay Glamping & Horse Tours, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Yurt",Miles Holden,JPG,37.73 MB,8055×5373px,16/11/2023,https://visuals.newzealand.com/asset-page/235270-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235270-matapouri-northland.jpg,Yes
Tourism New Zealand,235259,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"activities, Activity, Adventure, Coastal Scenery, experience, Horse Riding, horses, Horse Trekking, Image, Matapouri, Matapōuri, Nature, Northland, qualmark, Sandy bay, Sandy Bay Glamping & Horse Tours, Sandy bay horse trekking, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Wildlife Encounter",Miles Holden,JPG,27.29 MB,7715×5146px,16/11/2023,https://visuals.newzealand.com/asset-page/235259-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235259-matapouri-northland.jpg,Yes
Tourism New Zealand,235218,"Abel Tasman National Park, Nelson",Abel Tasman,"Abel Tasman National Park, Nelson",WorldWide - Unpaid Only,No,"Abel Tasman, Abel Tasman National Park, activities, Activity, beach, beaches, Coastal Scenery, guided tour, guided walk, hike, hiking, Image, National Park, native birds, native bush, Native Forest, Nature, Natures Wonders, Nelson, Nelson Tasman, new zealand bush, ocean, ocean views, People, qualmark, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, walk, walking, Walking Tracks, Walking Trail, Wildlife Encounter, wilsons walk",Miles Holden,JPG,30.81 MB,7960×5309px,16/11/2023,https://visuals.newzealand.com/asset-page/235218-abel-tasman-national-park-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235218-abel-tasman-national-park-nelson.jpg,Yes
Tourism New Zealand,235267,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"Accommodation, Coastal Scenery, couple, Farmstay, glamping, Image, luxury, Luxury Accommodation, Matapouri, Matapōuri, Nature, Northland, qualmark, relax, relaxing, romantic getaway, Romantic Holiday, Sandy bay, Sandy Bay Glamping, Sandy Bay Glamping & Horse Tours, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Yurt",Miles Holden,JPG,33.55 MB,8130×5423px,16/11/2023,https://visuals.newzealand.com/asset-page/235267-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235267-matapouri-northland.jpg,Yes
Tourism New Zealand,235258,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"activities, Activity, Adventure, Coastal Scenery, experience, Horse Riding, horses, Horse Trekking, Image, Matapouri, Matapōuri, Nature, Northland, qualmark, Sandy bay, Sandy Bay Glamping & Horse Tours, Sandy bay horse trekking, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Wildlife Encounter",Miles Holden,JPG,25.97 MB,8082×5391px,16/11/2023,https://visuals.newzealand.com/asset-page/235258-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235258-matapouri-northland.jpg,Yes
Tourism New Zealand,235271,"Paihia, Northland",Northland,"Paihia, Northland",WorldWide - Unpaid Only,No,"Coastal Scenery, coastline, Image, Nature, Natures Wonders, Northland, ocean, ocean views, Paihia, relax, relaxing, scenery, scenic, Scenics, summer, Summer content, Summer Shoot, sunset",Miles Holden,JPG,22.66 MB,8115×5413px,16/11/2023,https://visuals.newzealand.com/asset-page/235271-paihia-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235271-paihia-northland.jpg,Yes
Tourism New Zealand,235266,"Matapōuri, Northland",Northland,"Matapōuri, Northland",WorldWide - Unpaid Only,No,"Accommodation, Coastal Scenery, couple, Farmstay, glamping, Image, luxury, Luxury Accommodation, Matapouri, Matapōuri, Nature, Northland, qualmark, relax, relaxing, romantic getaway, Romantic Holiday, Sandy bay, Sandy Bay Glamping, Sandy Bay Glamping & Horse Tours, summer, Summer content, Summer Shoot, Tutukaka, Tutukākā, Tutukaka Coast, Yurt",Miles Holden,JPG,30.5 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235266-matapouri-northland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235266-matapouri-northland.jpg,Yes
Tourism New Zealand,235250,"Clevedon, Auckland",Auckland,"Clevedon, Auckland",WorldWide - Unpaid Only,No,"Auckland, beer tasting, biergarten, Brewery, Business Events, casual dining, Clevedon, Corporate Events, Craft Beer, Dining, Events, Food and Beverage Industry Toolkit, food and drink, food and wine, food & drink, Food & Wine, group of people, Hallertau, Hallertau Brewery, Hallertau brewery & biergarten, Image, Local Produce, People, summer, Summer content, Summer Shoot, wine and food",Miles Holden,JPG,26.83 MB,8192×5464px,16/11/2023,https://visuals.newzealand.com/asset-page/235250-clevedon-auckland,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235250-clevedon-auckland.jpg,Yes
Tourism New Zealand,235231,"Nelson City, Nelson",Nelson,"Nelson City, Nelson",WorldWide - Unpaid Only,No,"activities, Business Events, cafe, Central City, coffee, coffee beans, coffee culture, coffee roastery, Corporate Events, Events, experience, Food and Beverage Industry Toolkit, food and drink, group of people, Image, Nelson, People, Sublime, Sublime coffee, Sublime coffee roasters, summer, Summer content, Summer Shoot, Urban",Miles Holden,JPG,20.83 MB,5377×8062px,16/11/2023,https://visuals.newzealand.com/asset-page/235231-nelson-city-nelson,C:\Users\liams\Parnell Partners Group\Curated Experiences - Documents\Assets Library\Images\235231-nelson-city-nelson.jpg,Yes
